run,fill,year,pp.energy,n.lumi.events,data.quality,proxy.for.lumi.data.integrity,proxy.for.physics.data.integrity,lumi
157349,3976,2015,13,1046584,OK,13463.7873116105,13463.7873116,1.53131632699291e-05
157558,3981,2015,13,2952700,OK,82797.1502339,82797.150233859,9.58306048140903e-05
157572,3981,2015,13,3580314,OK,101873.603611564,101873.6036116,0.000117678562500948
157577,3981,2015,13,4442843,OK,126247.0284373,126247.0284373,0.000145706578842968
157579,3981,2015,13,1670371,OK,47823.5198641509,47823.5198642,5.51577804711085e-05
157580,3981,2015,13,3190776,OK,90263.761972147,90263.76197216,0.000103931008128111
157582,3981,2015,13,3126731,OK,89803.1997054476,89803.19970542,0.000103383001862603
157584,3981,2015,13,470494,OK,13092.6337661302,13092.6337661,1.50489542493307e-05
157586,3981,2015,13,960347,OK,15460.4357766287,15460.4357766,1.78574209367095e-05
157588,3981,2015,13,5001862,OK,141597.640029235,141597.6400296,0.000163798404276879
157593,3981,2015,13,2890089,OK,81930.6675530468,81930.66755303,9.44818060953568e-05
157596,3981,2015,13,5004214,OK,141224.938638905,141224.938638547,0.000163143975014927
157597,3981,2015,13,1137420,OK,31706.5667526977,31706.5667527,3.65449638321593e-05
157633,3983,2015,13,1267967,OK,23697.4823160519,23697.482316,2.72715261880393e-05
157697,3988,2015,13,5008366,OK,142046.245795,142046.2457947,0.000164088286571372
157700,3988,2015,13,683802,OK,19277.0654576788,19277.0654576,2.22608034190686e-05
157702,3988,2015,13,2093470,OK,58627.904833452,58627.9048335,6.76870341375286e-05
157704,3988,2015,13,5020146,OK,142473.556789,142473.5567895,0.000164791755236835
157705,3988,2015,13,5014521,OK,142746.835358,142746.8353579,0.000164327945719993
157706,3988,2015,13,5024728,OK,143365.988924,143365.9889243,0.000165188758388322
157707,3988,2015,13,5026434,OK,145450.806124,145450.806123876,0.00016734830117496
157710,3988,2015,13,509065,OK,14284.9693267838,14284.9693267,1.63697892118055e-05
157803,3992,2015,13,825299,OK,24579.6750997,24579.6750997,2.84852724091674e-05
157805,3992,2015,13,2939209,OK,135177.215824,135177.215824,0.000155907637256642
157808,3992,2015,13,4938363,OK,226710.636812,226710.6368126,0.000260584101061867
157809,3992,2015,13,4943528,OK,227281.578925,227281.5789247,0.000262114579032374
157815,3992,2015,13,4945551,OK,228781.245151,228781.2451512,0.000263777345982396
157816,3992,2015,13,3957254,OK,188777.390587,188777.3905866,0.000217194123777188
157817,3992,2015,13,1254957,OK,58993.90257252,58993.9025725,6.83709769894838e-05
157819,3992,2015,13,1559166,OK,71810.1855222349,71810.1855222,8.2972535943949e-05
157895,3996,2015,13,4948882,OK,212740.005902055,212740.0059021,0.00024616775794787
157896,3996,2015,13,4939463,OK,227349.784075571,227349.7840751,0.000262324492396604
157901,3996,2015,13,3684187,OK,167790.09293598,167790.09293598,0.000194301595824915
157908,3996,2015,13,3557822,OK,164858.271158752,164858.27115863,0.00018886857402862
157909,3996,2015,13,2240874,OK,102049.514670279,102049.5146704,0.000117715190333346
158044,4008,2015,13,5008609,OK,137478.139384584,137478.1393845,0.000159312249717293
158045,4008,2015,13,5008590,OK,141978.12843855,141978.128438631,0.00016451034971454
158048,4008,2015,13,2119760,OK,59717.26582705,59717.2658271,6.91491752729068e-05
159978,4201,2015,13,4603925,OK,16966.90254762,16966.90254757,7.61165847308165e-06
159986,4201,2015,13,3974094,OK,13528.38654013,13528.3865401,6.05295284002432e-06
162249,4322,2015,13,58289,OK,261.1790768156,261.179076816,2.22265576697062e-07
162250,4322,2015,13,1656938,OK,7614.77975953,7614.77975953,6.32869045217654e-06
162252,4322,2015,13,358460,OK,1443.655036678,1443.65503668,1.50730236660113e-06
162255,4322,2015,13,208611,OK,1001.682211801,1001.6822118,9.88146187544511e-07
162257,4322,2015,13,1155718,OK,5424.75520343053,5424.75520342,5.33261093992746e-06
162258,4322,2015,13,561433,OK,2684.75034073674,2684.75034074,2.646850096686e-06
162260,4322,2015,13,452840,OK,2062.07337379394,2062.07337379,2.1069457866352e-06
162261,4322,2015,13,231061,OK,1178.71228864081,1178.71228864,1.09820526232599e-06
162268,4322,2015,13,1034292,OK,4573.83249915542,4573.83249915,4.67774423636996e-06
162284,4323,2015,13,4462805,OK,98538.07583701,98538.075837,0.000100825690322133
162287,4323,2015,13,4465878,OK,97485.0070048,97485.0070048,9.94190090246586e-05
162288,4323,2015,13,2667260,OK,58328.207958563,58328.2079585,5.89258445672401e-05
162289,4323,2015,13,1162205,OK,26139.8034826723,26139.8034827,2.62237859087647e-05
162290,4323,2015,13,4461270,OK,96934.9547283739,96934.9547284,9.86459800329801e-05
162291,4323,2015,13,2787550,OK,60411.7911399742,60411.79114,6.15336192345134e-05
162292,4323,2015,13,3345260,OK,73546.3698296026,73546.3698296,7.42406584538783e-05
162293,4323,2015,13,2757089,OK,59609.4755471457,59609.4755472,6.03756470808442e-05
162461,4332,2015,13,1070895,OK,58799.31055101,58799.310551,6.03350047162546e-05
162530,4337,2015,13,1133629,OK,48132.88897031,48132.88897034,4.91962054986232e-05
162531,4337,2015,13,970136,OK,41664.37329127,41664.3732913,4.12804692801575e-05
162533,4337,2015,13,2135416,OK,89677.676221,89677.67622086,9.13645100471249e-05
162535,4337,2015,13,3370084,OK,145346.4178648,145346.4178649,0.000147546527060281
162538,4337,2015,13,1083864,OK,49081.49017792,49081.49017788,4.96498311644608e-05
162540,4337,2015,13,4613202,OK,215282.3005014,215282.3005014,0.000217370728400803
162544,4337,2015,13,2133945,OK,97310.1549554955,97310.154955475,9.85123159329102e-05
162546,4337,2015,13,4618357,OK,211437.3342058,211437.3342057,0.000213567495742367
162549,4337,2015,13,1453878,OK,69167.6794074574,69167.6794075,6.89763589352237e-05
162553,4337,2015,13,4620727,OK,212260.333143339,212260.3331434,0.000214149704499633
162559,4337,2015,13,3261954,OK,148694.323706948,148694.3237071,0.000149996609312409
162595,4341,2015,13,4287961,OK,333248.16928671,333248.169286689,0.000336008524928164
162600,4341,2015,13,1656041,OK,128811.176645739,128811.1766457,0.00012962937366517
162623,4342,2015,13,1573035,OK,121570.860506223,121570.8605061,0.000123124019856668
162832,4349,2015,13,1728271,OK,134501.3247451,134501.324745,0.000136393669196118
162836,4349,2015,13,361296,OK,29724.2125364198,29724.2125364,2.98941323059121e-05
162837,4349,2015,13,4270165,OK,341641.1085602,341641.10856028,0.000345940265168495
162839,4349,2015,13,134529,OK,10340.2761725278,10340.2761725,1.07520516457853e-05
